Test Name,prompt,negative prompt,sampler,steps,checkpoints,seeds,cfg values
1_circles,minimalism simple illustration vector art style clean single black circle inside white rectangle symmetric shape sharp professional print quality highres high contrast black and white,"ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",DPM++ 2M Karras,30,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","10,11,12,13,14","3,5,7"
2_jennifer,photo of (Jennifer Lawrence:0.9) beautiful young professional photo high quality highres makeup,"ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",Euler a,40,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","10,11,12,13,14","3,5,7"
3_woman,photo of woman standing full body beautiful young professional photo high quality highres makeup,"ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",DPM++ SDE Karras,30,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","10,11,12,13,14","3,5,7"
4_naked,photo of naked woman sexy beautiful young professional photo high quality highres makeup,"ugly, old, mutation, lowres, low quality, doll, long neck, extra limbs, text, signature, artist name, bad anatomy, poorly drawn, malformed, deformed, blurry, out of focus, noise, dust",DPM++ 2S a Karras,30,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","10,11,12,13,14","3,5,7"
5_solo,"Highly detailed girl sitter, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment",easynegative,Euler a,40,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","10,11,12,13,14","3,5,7"
6_blurry,"((masterpiece:1.3,concept art,best quality)),very cute appealing anthropomorphic strawberry,looking at the viewer,big grin,happy,fruit,berry,droplets,macro,sunlight,fantasy art,dynamic composition,dramatic lighting,epic realistic,award winning illustration","easynegative,worst quality,human,humans,animal,ears,teeth,fangs,fur,text,waremark,signature",Euler a,30,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","10,11,12,13,14","3,5,7"
7_blurry_negative,a car,"easynegative,worst quality,human,humans,animal,ears,teeth,fangs,fur,text,waremark,signature",DPM++ SDE Karras,30,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","10,11,12,13,14","3,5,7"
8_vodka_etam,"in the style of cyberpunk futurism, african influence, etam cru, light blue and gold, michael creese, steelpunk, michael hussar, white background, best quality, high quality, editorial photo, absurdres, masterpiece, intricate detail, film grain,","easynegative, duplicated, (blurry), (low quality:1.4), (worst quality:1.4), watermark",Euler a,150,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","3027805620,11,12,13,14","3,5,7"
9_vodka_maid,"a closeup portrait of a playful maid, undercut hair, apron, amazing body, pronounced feminine feature, busty, kitchen, [ash blonde | ginger | pink hair], freckles, flirting with camera","easynegative, duplicated, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation. tattoo",DPM++ 2S a Karras,150,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","3027805620,11,12,13,14","3,5,7"
10_vodka_student,"Masterpiece, beautiful 20yo student girl walking in retrofuturistic paradise ciyty , crowd of people, short brown hair, blue eyes, black skirt school uniform, white shirt, red scout tie, (white shining background:1), highly detailed","(deformed iris, deformed pupils:1.4), text, close up, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers",Euler a,150,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","1022373956,11,12,13,14","3,5,7"
11_no_blur_mounatins,"Highly detailed cinematic film still, wide angle landscape shot, otherworldly dark fantasy jungle world,villages, creatures, (lush vegetation), (mountains:1.1), (god rays:0.4), dense alien jungle, toned body, (highly detailed, hyperdetailed, intricate), (lens flare:0.4), (bloom:0.5), particle effects, cinematic lighting, (soft lighting:0.6), prominent projected shadows, deep depth of field, (film grain:0.5), photographed on a Leica SL (Typ 601) Mirrorless Digital Camera, 50mm wide angle lens, F2.8 aperture, deep focus, (RAW), cinematic film still from Avatar","duplicated, cartoon, anime, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy, girl, loli, young, breasts, red eyes, muscular",Euler a,150,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","961179765,11,12,13,14","3,5,7"
12_neg_BLUR_mounatins,"Highly detailed cinematic film still, wide angle landscape shot, otherworldly dark fantasy jungle world,villages, creatures, (lush vegetation), (mountains:1.1), (god rays:0.4), dense alien jungle, toned body, (highly detailed, hyperdetailed, intricate), (lens flare:0.4), (bloom:0.5), particle effects, cinematic lighting, (soft lighting:0.6), prominent projected shadows, deep depth of field, (film grain:0.5), photographed on a Leica SL (Typ 601) Mirrorless Digital Camera, 50mm wide angle lens, F2.8 aperture, deep focus, (RAW), cinematic film still from Avatar","(blurry), duplicated, cartoon, anime, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy, girl, loli, young, breasts, red eyes, muscular",Euler a,150,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","961179765,11,12,13,14","3,5,7"
13_cute_robot,"product photo of a futuristic cute small robot, by artgerm and greg rutkowski and marc newson, alphonse mucha, zaha hadid, volumetric light, detailed, octane render, midsommar",easynegative,DPM++ SDE Karras,50,"5_vokda_v2_mix.safetensors, neverendingDream.safetensors, dreamshaper_6.safetensors, CounterfeitV30.safetensors, epicrealism_newEra.safetensors, rpg_V4.safetensors'","961179765,11,12,13,14","3,5,7"
